"Season_KEEPER","Squad_KEEPER","Comp_KEEPER","Player_KEEPER","Nation_KEEPER","Pos_KEEPER","Age_KEEPER","MP_Playing_Time_KEEPER","Starts_Playing_Time_KEEPER","Min_Playing_Time_KEEPER","Mins_Per_90_Playing_Time_KEEPER","GA_KEEPER","GA90_KEEPER","SoTA_KEEPER","Saves_KEEPER","Save_percent_KEEPER","W_KEEPER","D_KEEPER","L_KEEPER","CS_KEEPER","CS_percent_KEEPER","PKatt_Kicks_KEEPER","PKA_Kicks_KEEPER","PKsv_Kicks_KEEPER","PKm_Kicks_KEEPER","Save_percent_Kicks_KEEPER","UrlFBref","Mins_Per_90_KEEPER_ADV","GA_Goals_KEEPER_ADV","PKA_Goals_KEEPER_ADV","FK_Goals_KEEPER_ADV","CK_Goals_KEEPER_ADV","OG_Goals_KEEPER_ADV","PSxG_Expected_KEEPER_ADV","PSxG_per_SoT_Expected_KEEPER_ADV","PSxGPlus_Minus_Expected_KEEPER_ADV","_per_90_Expected_KEEPER_ADV","Cmp_Launched_KEEPER_ADV","Att_Launched_KEEPER_ADV","Cmp_percent_Launched_KEEPER_ADV","Att (GK)_Passes_KEEPER_ADV","Thr_Passes_KEEPER_ADV","Launch_percent_Passes_KEEPER_ADV","AvgLen_Passes_KEEPER_ADV","Att_Goal_Kicks_KEEPER_ADV","Launch_percent_Goal_Kicks_KEEPER_ADV","AvgLen_Goal_Kicks_KEEPER_ADV","Opp_Crosses_KEEPER_ADV","Stp_Crosses_KEEPER_ADV","Stp_percent_Crosses_KEEPER_ADV","Player_NumOPA_Sweeper_KEEPER_ADV","Player_NumOPA_per_90_Sweeper_KEEPER_ADV","AvgDist_Sweeper_KEEPER_ADV","WeeklyWageEUR_WAGES","UrlTmarkt","comp_name_TM","player_position_TM","player_nationality_TM","player_height_mtrs_TM","player_foot_TM","contract_expiry_TM","player_market_value_euro_TM"
"2023-2024","Liverpool","Premier League","Alisson","BRA","GK","31-144",21,21,1890,21,19,0.9,73,55,75.3,13,6,2,7,33.3,1,1,0,0,0,"https://fbref.com/en/players/7a2e46a8/Alisson",21,19,1,0,2,1,18.9,0.25,0.9,0.04,54,159,34,791,100,15.3,25.2,103,36.9,34.6,234,12,5.1,26,1.24,17.1,175729,"https://www.transfermarkt.com/alisson/profil/spieler/105470","Premier League","Goalkeeper","Brazil","1.93","right","2027-06-30",3.2e+07
"2023-2024","Manchester City","Premier League","Ederson","BRA","GK","30-191",24,24,2077,23.1,23,1,65,43,67.7,16,5,3,7,29.2,2,2,0,0,0,"https://fbref.com/en/players/3bb7b8b4/Ederson",23.1,23,2,0,2,1,21.9,0.31,-0.1,0,89,188,47.3,846,100,18.6,27.6,84,36.9,36.8,189,18,9.5,30,1.3,17.4,117152,"https://www.transfermarkt.com/ederson/profil/spieler/238223","Premier League","Goalkeeper","Brazil","1.88","left","2026-06-30",4e+07
"2023-2024","Arsenal","Premier League","David Raya","ESP","GK","28-161",20,20,1800,20,18,0.9,49,31,65.3,13,3,4,8,40,2,1,1,0,50,"https://fbref.com/en/players/98ea5115/David-Raya",20,18,1,0,4,1,14.8,0.27,-2.2,-0.11,72,212,34,599,110,30.1,30,61,52.5,43.6,188,28,14.9,33,1.65,18,99580,"https://www.transfermarkt.com/david-raya/profil/spieler/262749","Premier League","Goalkeeper","Spain","1.83","right","2024-06-30",3.5e+07
"2023-2024","Aston Villa","Premier League","Emiliano Martínez","ARG","GK","31-174",24,24,2160,24,32,1.33,100,71,68,14,4,6,6,25,0,0,0,0,NA,"https://fbref.com/en/players/7956236f/Emiliano-Martinez",24,32,0,0,8,3,34,0.35,5,0.21,82,215,38.1,855,116,20.5,27.5,109,36.7,34.6,264,27,10.2,54,2.25,18.9,140583,"https://www.transfermarkt.com/emiliano-martinez/profil/spieler/111873","Premier League","Goalkeeper","Argentina","1.95","right","2027-06-30",2.8e+07
"2023-2024","Tottenham Hotspur","Premier League","Guglielmo Vicario","ITA","GK","27-139",25,25,2250,25,38,1.52,112,76,71.4,14,5,6,5,20,6,6,0,0,0,"https://fbref.com/en/players/77d6fd4d/Guglielmo-Vicario",25,38,6,0,4,2,42.3,0.33,6.3,0.25,40,184,21.7,902,144,17.3,25.4,156,17.9,23.6,367,23,6.3,53,2.12,17,87864,"https://www.transfermarkt.com/guglielmo-vicario/profil/spieler/286047","Premier League","Goalkeeper","Italy","1.94","right","2028-06-30",3e+07
"2023-2024","Manchester United","Premier League","André Onana","CMR","GK","27-327",25,25,2250,25,34,1.36,122,89,74.6,14,2,9,7,28,3,3,0,0,0,"https://fbref.com/en/players/e9c0c1b2/Andre-Onana",25,34,3,1,6,1,36.2,0.28,3.2,0.13,95,319,29.8,868,90,29.5,30.5,114,55.3,43.1,386,18,4.7,28,1.12,15.1,140583,"https://www.transfermarkt.com/andre-onana/profil/spieler/234509","Premier League","Goalkeeper","Cameroon","1.9","right","2028-06-30",4e+07
"2023-2024","Brighton & Hove Albion","Premier League","Jason Steele","ENG","GK","33-189",14,14,1260,14,25,1.79,59,36,62.7,5,4,5,2,14.3,3,3,0,0,0,"https://fbref.com/en/players/28300a16/Jason-Steele",14,25,3,0,5,2,20.6,0.31,-2.4,-0.17,42,123,34.1,519,53,22.2,27.5,46,17.4,19.7,149,6,4,31,2.21,20.4,23430,"https://www.transfermarkt.com/jason-steele/profil/spieler/73564","Premier League","Goalkeeper","England","1.88","right","2026-06-30",3500000
"2023-2024","Newcastle United","Premier League","Nick Pope","ENG","GK","31-310",14,14,1255,13.9,14,1,53,39,73.6,8,2,4,5,35.7,0,0,0,0,NA,"https://fbref.com/en/players/4b40d9ca/Nick-Pope",13.9,14,0,1,2,0,15.1,0.3,1.1,0.08,35,100,35,282,85,18.8,27.8,85,55.3,42.3,128,6,4.7,28,2.01,19.8,70291,"https://www.transfermarkt.com/nick-pope/profil/spieler/192080","Premier League","Goalkeeper","England","1.98","right","2026-06-30",2e+07
"2023-2024","Newcastle United","Premier League","Martin Dúbravka","SVK","GK","35-039",12,11,995,11.1,27,2.44,79,51,69.6,3,2,6,2,18.2,4,3,1,0,25,"https://fbref.com/en/players/3a949a25/Martin-Dubravka",11.1,27,3,0,1,0,29.8,0.33,2.8,0.25,30,89,33.7,251,75,18.7,26.9,88,47.7,36.9,166,11,6.6,10,0.9,11.5,46861,"https://www.transfermarkt.com/martin-dubravka/profil/spieler/74960","Premier League","Goalkeeper","Slovakia","1.91","right","2025-06-30",1e+06
"2023-2024","West Ham United","Premier League","Alphonse Areola","FRA","GK","30-361",22,22,1934,21.5,35,1.63,123,88,74.8,8,6,8,4,18.2,5,4,1,0,20,"https://fbref.com/en/players/2f965a72/Alphonse-Areola",21.5,35,4,0,2,1,35.5,0.25,1.5,0.07,115,309,37.2,453,100,44.2,36.5,171,63.7,45.6,330,18,5.5,3,0.14,9,140583,"https://www.transfermarkt.com/alphonse-areola/profil/spieler/120629","Premier League","Goalkeeper","France","1.95","right","2027-06-30",1e+07
"2023-2024","Chelsea","Premier League","Robert Sánchez","ESP","GK","26-098",16,16,1433,15.9,25,1.57,78,52,70.5,5,4,7,3,18.8,3,2,1,0,33.3,"https://fbref.com/en/players/6a713852/Robert-Sanchez",15.9,25,2,0,3,0,24.2,0.28,-0.8,-0.05,61,147,41.5,516,87,21.3,28.1,91,40.7,33.7,202,19,9.4,27,1.7,15.8,70291,"https://www.transfermarkt.com/robert-sanchez/profil/spieler/403151","Premier League","Goalkeeper","Spain","1.97","right","2030-06-30",3e+07
"2023-2024","Wolverhampton Wanderers","Premier League","José Sá","POR","GK","31-038",23,23,2002,22.2,37,1.66,104,68,69.2,9,5,9,3,13,5,5,0,0,0,"https://fbref.com/en/players/903b6e8b/Jose-Sa",22.2,37,5,1,3,1,40.2,0.34,4.2,0.19,57,282,20.2,533,125,35.5,34.6,162,57.4,43.6,351,38,10.8,17,0.76,12.1,46861,"https://www.transfermarkt.com/jose-sa/profil/spieler/249994","Premier League","Goalkeeper","Portugal","1.92","right","2027-06-30",1.6e+07
"2023-2024","Fulham","Premier League","Bernd Leno","GER","GK","31-357",25,25,2250,25,41,1.64,124,86,71.8,8,5,12,6,24,6,6,0,0,0,"https://fbref.com/en/players/2628fd2b/Bernd-Leno",25,41,6,0,2,3,38.1,0.26,0.1,0,101,296,34.1,907,104,23.9,28.6,120,65.8,49.2,300,10,3.3,29,1.16,15.1,152298,"https://www.transfermarkt.com/bernd-leno/profil/spieler/72476","Premier League","Goalkeeper","Germany","1.9","right","2027-06-30",1.3e+07
"2023-2024","Bournemouth","Premier League","Neto","BRA","GK","34-220",22,22,1980,22,39,1.77,114,75,69.3,6,7,9,5,22.7,5,4,1,0,20,"https://fbref.com/en/players/a9dc785c/Neto",22,39,4,1,2,1,38.7,0.3,0.7,0.03,114,336,33.9,574,105,42.7,35.9,162,56.2,44.1,286,19,6.6,22,1,13.5,58576,"https://www.transfermarkt.com/neto/profil/spieler/111819","Premier League","Goalkeeper","Brazil","1.9","right","2026-06-30",2500000
